name,opening,heigh,low,volume,last,variation
ADWYA,4.8,4.8,4.8,20918,4.8,0.00
AETECH,0.9,0.9,0.9,552,0.9,0.00
AIR LIQUIDE TUNISIE,98.7,98.7,98.7,988,98.7,4.50
AMEN BANK,23.9,24.0,23.8,69811,23.9,1.65
AMI,3.5,3.5,3.5,2510,3.5,42.06
AMS,1.2,1.2,1.2,1602,1.2,0.00
ARAB TUNISIAN BANK,2.4,2.4,2.4,128093,2.4,2.94
ARAB TUNISIAN LEASE,2.1,2.1,2.1,5265,2.1,-2.29
ARTES,7.7,7.7,7.7,82013,7.7,0.13
ASSAD,1.2,1.3,1.2,48823,1.2,0.00
ASSURANCES MAGHREBIA,57.7,57.7,56.6,34668,57.7,2.03
ASTREE,57.4,57.4,57.4,28715,57.4,0.00
ATTIJARI LEASING,13.7,13.7,13.5,14916,13.7,1.93
BANQUE ATTIJARI DE TUNIS,31.7,31.9,31.1,83086,31.7,1.93
BANQUE DE TUNISIE,4.9,4.9,4.8,66057,4.9,1.43
BANQUE NATIONALE AGRICOLE,8.3,8.3,8.2,127762,8.3,-0.95
BEST LEASE,2.2,2.2,2.2,226,2.2,-0.44
BH ASSURANCE,47.5,47.5,46.4,5890,47.5,0.00
BH BANK,10.3,10.3,10.1,11134,10.3,1.98
BIAT,68.7,68.7,68.3,332302,68.7,0.59
BTE (ADP),7.2,7.2,7.2,181,7.2,-0.82
CARTHAGE CEMENT,1.3,1.3,1.3,83635,1.3,3.08
CELLCOM,4.2,4.3,4.2,2789,4.2,-0.23
CEREALIS,11.0,11.5,11.0,110000,11.0,-4.43
CIL,18.0,18.0,17.3,144,18.0,4.05
CIMENTS DE BIZERTE,1.5,1.5,1.4,1500,1.5,-9.64
CITY CARS,12.2,12.2,12.0,30000,12.2,-0.41
DELICE HOLDING,15.3,15.3,15.2,65805,15.3,1.32
ELBENE,2.2,2.2,2.2,46,2.2,10.14
ELECTROSTAR,0.6,0.6,0.6,104,0.6,1.47
ENNAKL AUTOMOBILES,11.4,11.4,11.4,2126,11.4,0.09
ESSOUKNA,2.3,2.3,2.3,2,2.3,1.70
EURO-CYCLES,31.8,31.8,31.7,142656,31.8,0.47
GIF FILTER,0.4,0.4,0.4,3525,0.4,-4.08
HANNIBAL LEASE,4.0,4.0,3.9,884,4.0,11.11
HEXABYTE,7.5,7.5,7.5,8,7.5,0.00
ICF,83.9,84.0,83.0,11165,83.9,-0.06
LAND'OR,8.6,8.6,8.6,172,8.6,-0.58
MAGASIN GENERAL,13.0,13.0,12.5,13,13.0,4.07
MEUBLES INTERIEURS,2.8,2.8,2.8,6910,2.8,1.43
MIP,0.2,0.2,0.2,377,0.2,7.69
MODERN LEASING,1.5,1.5,1.5,2673,1.5,-6.47
MONOPRIX,4.5,4.5,4.5,4177,4.5,0.00
MPBS,4.5,4.5,4.5,863,4.5,2.00
NEW BODY LINE,6.3,6.4,6.3,14205,6.3,-0.78
OFFICE PLAST,1.6,1.6,1.6,486,1.6,0.00
ONE TECH,7.9,7.9,7.8,22379,7.9,0.00
PLACEMENTS DE TUNISIE - SICAF,46.0,46.0,46.0,1748,46.0,0.00
POULINA GROUP HOLDING,10.4,10.5,10.0,4119,10.4,3.76
SAH,8.9,9.2,8.9,190286,8.9,-0.56
SANIMED,2.3,2.3,2.2,46,2.3,4.05
SERVICOM,0.9,0.9,0.9,4230,0.9,-1.09
SFBT,15.8,16.0,15.8,414671,15.8,0.64
SIAME,3.7,3.8,3.7,22163,3.7,-1.32
SIMPAR,34.0,34.0,34.0,11220,34.0,0.00
SIPHAT,4.0,4.0,3.9,72,4.0,1.27
SITS,2.0,2.0,2.0,615,2.0,2.50
SMART TUNISIE,25.5,25.5,25.4,14025,25.5,0.00
SOCIETE CHIMIQUE ALKIMIA,35.0,35.4,35.0,5110,35.0,-1.27
SOMOCER,0.8,0.8,0.8,19268,0.8,1.23
SOPAT,1.4,1.4,1.4,8488,1.4,0.70
SOTEMAIL,2.3,2.3,2.3,48,2.3,0.00
SOTETEL,2.8,2.8,2.7,5795,2.8,0.71
SOTIPAPIER,6.0,6.0,6.0,2111,6.0,0.00
SOTRAPIL,13.6,13.6,13.6,28152,13.6,-0.73
SOTUMAG,5.1,5.1,5.0,11715,5.1,0.00
SOTUVER,7.6,7.6,7.6,26097,7.6,0.39
SPDIT - SICAF,8.3,8.3,8.0,830,8.3,-4.60
STA,19.9,19.9,19.8,57915,19.9,0.00
STAR,120.0,120.0,116.0,30000,120.0,3.45
STB BANK,3.6,3.6,3.5,29621,3.6,0.83
STEQ,6.5,6.5,6.5,136598,6.5,0.00
STIP,3.0,3.1,3.0,602,3.0,-16.39
SYPHAX AIRLINES,3.8,3.9,3.8,2773,3.9,-2.01
TAWASOL,0.7,0.7,0.6,6859,0.7,10.94
TELNET HOLDING,7.9,8.2,7.9,30700,7.9,0.25
TPR,4.3,4.3,4.3,22399,4.3,1.86
TUNINDEX,7333.6,7388.6,7333.6,0,7363.5,0.41
TUNINVEST - SICAR,8.2,8.2,8.1,619,8.2,1.85
TUNIS RE,6.9,6.9,6.9,349,6.9,4.02
TUNISAIR,0.5,0.5,0.5,1247,0.5,0.00
TUNISIAN BOND INDEX,167.6,167.6,167.6,0,167.6,0.02
TUNISIE LEASING & FACTORING,8.9,8.9,8.9,365,8.9,-1.11
TUNISIE VALEURS,17.4,17.4,17.4,7272,17.4,0.00
UADH,0.4,0.4,0.4,39205,0.4,5.13
UBCI,20.5,20.5,20.5,62,20.5,0.49
UIB,14.7,14.7,14.6,19672,14.7,0.00
UNIMED,6.8,7.0,6.8,45285,6.8,-2.14
WIFAK INT BANK,6.9,7.0,6.9,10561,6.9,5.76
