name,opening,heigh,low,volume,last,variation
ADWYA,4.8,4.9,4.7,49805,4.8,0.00
AETECH,0.9,0.9,0.9,552,0.9,0.00
AIR LIQUIDE TUNISIE,98.7,98.7,98.7,988,98.7,4.50
AMEN BANK,23.9,24.0,23.8,69811,23.9,1.65
AMI,3.5,3.5,3.5,2510,3.5,42.06
AMS,1.2,1.2,1.2,485,1.2,-1.64
ARAB TUNISIAN BANK,2.3,2.3,2.3,39848,2.3,0.00
ARAB TUNISIAN LEASE,2.1,2.2,2.1,1175,2.1,-0.91
ARTES,7.6,7.7,7.6,30368,7.6,-0.13
ASSAD,1.2,1.3,1.2,61788,1.2,-0.77
ASSURANCES MAGHREBIA,56.6,57.8,56.6,79905,56.6,-2.02
ASTREE,57.4,57.4,57.4,28715,57.4,0.00
ATTIJARI LEASING,13.5,13.5,12.7,14,13.5,-3.16
BANQUE ATTIJARI DE TUNIS,31.1,31.2,31.0,149280,31.1,0.32
BANQUE DE TUNISIE,4.8,4.8,4.8,102084,4.8,1.66
BANQUE NATIONALE AGRICOLE,8.3,8.4,8.2,93127,8.3,0.12
BEST LEASE,2.2,2.2,2.2,226,2.2,-0.44
BH ASSURANCE,47.5,47.5,46.4,5890,47.5,0.00
BH BANK,10.1,10.3,10.0,24109,10.1,1.00
BIAT,68.3,68.4,68.3,137215,68.3,0.15
BTE (ADP),7.2,7.2,7.2,181,7.2,-0.82
CARTHAGE CEMENT,1.3,1.3,1.3,92886,1.3,-2.26
CELLCOM,4.2,4.3,4.2,2789,4.2,-0.23
CEREALIS,11.0,11.5,11.0,110000,11.0,-4.43
CIL,18.0,18.0,17.3,144,18.0,4.05
CIMENTS DE BIZERTE,1.5,1.5,1.4,1500,1.5,-9.64
CITY CARS,12.2,12.3,12.0,37963,12.2,1.24
DELICE HOLDING,15.1,15.3,15.1,25881,15.1,-1.31
ELBENE,2.2,2.2,2.2,46,2.2,10.14
ELECTROSTAR,0.6,0.6,0.6,103,0.6,0.00
ENNAKL AUTOMOBILES,11.4,11.4,11.4,2126,11.4,0.09
