idmark,idc,namec,date,company_price,variation,rating,decision
1,1,BIAT,2022-04-11,67.3,1.43,65,1
1,1,BIAT,2022-04-12,68.0,0.97,68,1
1,1,BIAT,2022-04-13,68.9,1.4,67,1
1,1,BIAT,2022-04-14,68.9,-0.07,65,1
1,1,BIAT,2022-04-15,69.0,0.15,71,1
1,1,BIAT,2022-04-18,69.1,0.14,68,1
1,1,BIAT,2022-04-19,68.9,-0.29,64,1
1,1,BIAT,2022-04-20,69.0,0.15,71,1
1,1,BIAT,2022-04-21,69.3,0.43,69,1
1,1,BIAT,2022-04-22,69.1,-0.29,68,1
1,1,BIAT,2022-04-25,69.0,-0.07,67,1
1,1,BIAT,2022-04-26,69.1,0.16,69,1
1,1,BIAT,2022-04-27,69.3,0.22,67,1
1,1,BIAT,2022-04-28,69.2,-0.03,70,1
1,1,BIAT,2022-04-29,69.3,0.01,65,1
1,1,BIAT,2022-05-04,69.5,0.29,71,1
1,1,BIAT,2022-05-05,69.7,0.29,69,1
1,1,BIAT,2022-05-06,69.7,0.0,67,1
1,1,BIAT,2022-05-09,64.6,-7.32,70,1
1,1,BIAT,2022-05-10,65.1,0.85,67,1
1,1,BIAT,2022-05-11,66.0,1.3,70,1
